name,url,overallClicks,ios_linkClicks,ios_install,ios_reopen,android_linkClicks,android_install,android_reopen,desktop_linkClicks,desktop_textsSent,desktop_iosSms_install,desktop_iosSms_reopen,desktop_androidSms_install,desktop_androidSms_reopen
Weekly Picks (Jan 19 - Jan 25),https://l.playbuddy.me/QlUNpXedUZb,0,0,0,0,0,0,0,0,0,0,0,0,0
Weekly Picks Newsletter,https://l.playbuddy.me/SSJsBHfaSZb,40,16,3,6,3,3,6,21,0,0,0,0,0
Pagan's Business Card,https://l.playbuddy.me/lrfv0NnkLZb,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18 Everyday Tantra - Temple Party,https://l.playbuddy.me/yaVBU1ELuXb,0,0,0,0,0,0,0,0,0,0,0,0,0
PB's Weekly Picks,https://l.playbuddy.me/rViIkGrncXb,59,37,1,17,17,1,17,5,0,0,0,0,0
9/16 Everyday Tantra Oct Tour,https://l.playbuddy.me/S4qmjdiuNWb,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4 Authentically Kinky Podcast,https://l.playbuddy.me/eEgi4sQWoWb,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominus Eros Pagan's Poster,https://l.playbuddy.me/rmmnVFdlYVb,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny & Vanessa Pagan's Poster,https://l.playbuddy.me/pQK3yUXkYVb,0,0,0,0,0,0,0,0,0,0,0,0,0
Unikink Pagan's Poster,https://l.playbuddy.me/q03WIARkYVb,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebus Pagan's Poster,https://l.playbuddy.me/dyS06XekWVb,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31 EveryDay Tantra Newsletter NYC Tour - 9/6 Exploring Rope,https://l.playbuddy.me/9mfDPjGmsVb,0,0,0,0,0,0,0,0,0,0,0,0,0
7/30 Everyday Tantra - Sep Tour Partnership,https://l.playbuddy.me/8QWcjqmHqVb,0,0,0,0,0,0,0,0,0,0,0,0,0
Unikink - Business Card (V1),https://l.playbuddy.me/hPYxfenN1Ub,0,0,0,0,0,0,0,0,0,0,0,0,0
Peanutbutter - Business Card - V2,https://l.playbuddy.me/JW4adKfM1Ub,0,0,0,0,0,0,0,0,0,0,0,0,0
Rorpheus - Business Card (V1),https://l.playbuddy.me/fqZggE5I1Ub,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14 - WeeklyPicks,https://l.playbuddy.me/IP2ovJ7YZUb,0,0,0,0,0,0,0,0,0,0,0,0,0
Skye business_card (V1),https://l.playbuddy.me/q5nYT16sYUb,0,0,0,0,0,0,0,0,0,0,0,0,0
DommeKat business_card (V1),https://l.playbuddy.me/3mpYgh1sYUb,0,0,0,0,0,0,0,0,0,0,0,0,0
[1001] Danny & Vanessa business_card (V1),https://l.playbuddy.me/T6D3jDwsYUb,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8 ML Announcement WhatsApp,https://l.playbuddy.me/0hQCKBzzQUb,0,0,0,0,0,0,0,0,0,0,0,0,0
Playbuddy.me Modal,https://l.playbuddy.me/ehjZ9IHqQUb,6,0,0,0,1,0,0,5,0,0,0,0,0
7/6 Weekly Picks,https://l.playbuddy.me/9waWxlBPHUb,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30 Whatsapp - Shamanic Kink,https://l.playbuddy.me/9KrCoiPZCUb,0,0,0,0,0,0,0,0,0,0,0,0,0
[_playbuddy_] Download PlayBuddy,https://l.playbuddy.me/p4G5nwQVuUb,0,0,0,0,0,0,0,0,0,0,0,0,0
Playbuddy Flyer Draft 3,https://l.playbuddy.me/71X5eZUEUTb,0,0,0,0,0,0,0,0,0,0,0,0,0
PlayBuddy Business Card 1,https://l.playbuddy.me/thZMjFo0STb,5,5,0,0,0,0,0,0,0,0,0,0,0
C 5/27 Playbuddy Flyer Draft 2,https://l.playbuddy.me/DdIVJLBIITb,0,0,0,0,0,0,0,0,0,0,0,0,0
C 5/27 Playbuddy Flyer Draft,https://l.playbuddy.me/8ViW3bzlHTb,0,0,0,0,0,0,0,0,0,0,0,0,0
C [5/25]  E[6/01]  Bottomless Bottomless Brunch (Toli Whatsapp),https://l.playbuddy.me/2vq4C2abFTb,0,0,0,0,0,0,0,0,0,0,0,0,0
C [5/19]  E[5/23]  HMU Hypnosis Night [ft. NY Trance-it] (Toli Whatsapp),https://l.playbuddy.me/mo0c2zNvvTb,0,0,0,0,0,0,0,0,0,0,0,0,0
C [5/15]  E[11/10]  Cabo Awaken as Energy (Toli Whatsapp),https://l.playbuddy.me/LIFxs16ooTb,0,0,0,0,0,0,0,0,0,0,0,0,0
C [5/18]  E[5/18] Weekly Picks  (Toli Whatsapp),https://l.playbuddy.me/8Fhrp7cunTb,0,0,0,0,0,0,0,0,0,0,0,0,0
C [5/09]  E[5/16]  Desire Pool Weekend (Toli Whatsapp),https://l.playbuddy.me/kJNNzPuneTb,0,0,0,0,0,0,0,0,0,0,0,0,0
PB's Weekly Picks [4/28],https://l.playbuddy.me/nXMGM0whTSb,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclaimed link 2,https://l.playbuddy.me/q6jm15uoih,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclaimed link 1,https://l.playbuddy.me/42f3fuywzs,0,0,0,0,0,0,0,0,0,0,0,0,0
"[4/15]  NYC Temple Party w/Monique, Peter, James, & Skye (Skye Personal)",https://l.playbuddy.me/t35pbRJYASb,0,0,0,0,0,0,0,0,0,0,0,0,0
"[4/15]  NYC The Heart & Soul of Rope w/Monique, James, & Skye (Skye Personal)",https://l.playbuddy.me/eAI15QJYASb,0,0,0,0,0,0,0,0,0,0,0,0,0
[4/15]  Bonded & Bliss: A Knotty Easter Celebration (Skye Personal),https://l.playbuddy.me/3eWU0QJYASb,0,0,0,0,0,0,0,0,0,0,0,0,0
[4/16] Knotty Easter - ET Thur Newsletter,https://l.playbuddy.me/SNtRYWTgxSb,0,0,0,0,0,0,0,0,0,0,0,0,0
[4/16] Knotty Easter,https://l.playbuddy.me/cgqAqGUexSb,0,0,0,0,0,0,0,0,0,0,0,0,0
[4/14] Temple Party - Toli to Whatsapp Groups (Kickoff),https://l.playbuddy.me/uSQcjGUexSb,0,0,0,0,0,0,0,0,0,0,0,0,0
Fet 4/4,https://l.playbuddy.me/U396cDbHiSb,0,0,0,0,0,0,0,0,0,0,0,0,0
Download Playbuddy,https://l.playbuddy.me/bald-bodacious,0,0,0,0,0,0,0,0,0,0,0,0,0
Everyday Tantra,https://l.playbuddy.me/everyday,9,4,0,0,4,0,0,1,0,0,0,0,0
